Collect_dt,Sampling,Lat,Lon,geometry,DO  ,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,TDS,SS  ,VSS ,TOC ,CN   ,FEC_COL,Chlorophyll-A,Cl,F    ,SO4   ,ALK,As sol,Ba tot,Cu sol,Fe sol,Mn sol,Ni sol,Zn sol,Hg LL,Ca tot,Mg tot,Hardness,B tot,sn_AS,sn_B,sn_CN,sn_BA,sn_FE,sn_HG,sn_MN,sn_CU,sn_NI,sn_ZN,vo_NH3_N,vo_Tot P,vo_TDS,vo_FEC_COL,vo_Cl,vo_F,vo_SO4,vo_As sol,vo_Ba tot,vo_Cu sol,vo_Fe sol,vo_Mn sol,vo_Ni sol,vo_Zn sol,vo_Hg LL,vo_Ca tot,vo_Mg tot,vo_Hardness,vo_B tot,vo_CN,HPI,year,month
2015-01-20,WW_75,41.819575,-87.74331389,POINT (-87.74331389 41.819575),9.8,7.18,5.967,0.9,1.71,1.04,830.0,4.0,4.0,3.2,0.005,300.0,9.1,365.0,0.53,51.23,149.0,0.02,0.03,0.005,0.1,0.0228,0.005,0.0228,,62.83,,,0.108,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012695865163987524,2015,1
2015-01-20,WW_41,41.80121111,-87.80188889,POINT (-87.80188889 41.80121111),8.9,7.08,5.898,1.58,2.85,0.63,936.0,4.0,4.0,4.0,0.005,1100.0,2.9,399.0,0.64,83.79,163.0,0.02,0.0284,0.005,0.1,0.0292,0.005,0.0233,,74.17,,,0.177,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012695839871215548,2015,1
2015-01-20,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),7.9,7.14,5.673,1.4,2.76,0.92,900.0,7.0,4.0,4.0,0.005,30.0,3.2,359.0,0.63,96.38,171.0,0.02,0.0235,0.005,0.1,0.0298,0.005,0.0253,,69.36,,,0.17,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012695599589971265,2015,1
2015-01-20,WW_48,41.67955,-87.99958889,POINT (-87.99958889 41.67955),8.4,7.01,6.026,1.45,2.65,1.1,880.0,11.0,4.0,4.0,0.005,180.0,2.0,341.0,0.64,106.88,168.0,0.02,0.027,0.005,0.1,0.0424,0.0058,0.0269,,75.31,,,0.18,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01269577494853837,2015,1
2015-01-26,WW_86,41.63131944,-87.5391,POINT (-87.5391 41.63131944),8.7,7.07,7.021,0.2,1.0,0.3,666.0,6.0,4.0,4.4,0.005,1600.0,1.2,149.0,0.6,147.21,181.0,0.02,0.0209,0.0135,0.1,0.0331,0.005,0.0192,,69.9181,,,0.168,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012695473372351765,2015,1
2015-01-26,WW_76,41.65751389,-87.64114722,POINT (-87.64114722 41.65751389),9.0,7.2,8.147,0.97,1.53,2.71,700.0,4.0,4.0,4.7,0.005,1600.0,0.8,219.0,0.66,106.04,184.0,0.02,0.0203,0.005,0.166,0.0268,0.005,0.0279,,71.6236,,,0.183,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012774608800453845,2015,1
2015-01-26,WW_57,41.65167778,-87.66059167,POINT (-87.66059167 41.65167778),11.0,7.86,4.128,0.24,1.0,0.38,1570.0,17.0,5.0,4.0,0.009,480.0,2.4,495.0,0.76,338.2,247.0,0.02,0.0409,0.005,0.1,0.142,0.0055,0.0184,2.25e-06,96.3835,,,0.189,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.761486638144106,2015,1
2015-01-26,WW_59,41.65534167,-87.73824167,POINT (-87.73824167 41.65534167),9.1,6.91,5.862,1.14,2.57,3.74,816.0,5.0,4.0,4.7,0.005,620.0,1.0,244.0,0.61,147.44,194.0,0.02,0.0233,0.005,0.1,0.0587,0.005,0.0235,,77.0277,,,0.186,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012695601928807447,2015,1
2015-01-26,WW_43,41.69633889,-87.93630833,POINT (-87.93630833 41.69633889),8.4,7.26,6.751,1.04,2.17,2.0,896.0,5.0,4.0,4.4,0.005,70.0,0.4,310.0,0.58,141.6,193.0,0.02,0.0252,0.005,0.1,0.0586,0.005,0.026,,75.5096,,,0.181,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012695689345606623,2015,1
2015-01-26,WW_92,41.57058889,-88.07831944,POINT (-88.07831944 41.57058889),7.2,7.29,6.452,1.05,1.85,1.05,952.0,13.0,4.0,4.1,0.005,30.0,4.2,374.0,0.69,122.5,174.0,0.02,0.0248,0.005,0.1,0.0422,0.0058,0.0255,,67.4852,,,0.18,0.36,40.1,0.022,5,1,1.2e-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012695669411173439,2015,1
